Country;ISO Code;level;unit;date_implemented;date_lifted;measure 1;points;Affected Pop Share / Esimate of affected population, if a measure is below ADM1 level (e.g. city).;Comment
Switzerland;CH;canton;TI;43909;43911;all economic and commercial activities closed;1;;
Belgium;BE;canton;GR;43906;43951;all non-essential stores and restaurants closed;2;1,00;
Switzerland;CH;canton;TI;43905;43919;all non-essential stores closed;2;;
Switzerland;CH;canton;TI;43905;43905;all other economic activities reduced to the minimum;2;;
Switzerland;CH;canton;TI;43908;43908;all stores must close at 18:00;4;;
Switzerland;CH;canton;SG;43906;43906;asked army assistance;2;;
Switzerland;CH;canton;TI;43897;43897;at risk groups invited to be careful;7;;
Switzerland;CH;canton;SG;43906;43906;at risk groups invited to stay home;2;;
Switzerland;CH;canton;TI;43901;43901;at risk groups should avoid several activties (childcare, public transport, events);7;;
Switzerland;CH;canton;GR;43903;43951;ausserordentliche Lage;7;;
Switzerland;CH;federal;CH;43906;43906;avoid all necessary tranposrt;4;;
Switzerland;CH;canton;SG;43906;43906;ballot box elections instead of assemblies;2;;
Switzerland;CH;canton;VD;43906;43906;ban all sports that don't allow distancing;2;;
Switzerland;CH;canton;TI;43889;43889;ban events larger than 1000 persons;9;;
Switzerland;CH;canton;TI;43905;43905;ban events larger than 30 persons;3;;
Switzerland;CH;canton;TI;43901;43901;ban events larger than 50 persons;5;;
Switzerland;CH;canton;GR;43904;43951;ban for religious functions larger than 50 persons;5;;
Switzerland;CH;canton;JU;43907;43907;Ban gatherings of more than 5 people;2;;
Italy;IT;;;43899;43899;Ban of Group Gatherings;2;1,00;actually includes fourteen provinces in Piedmont, Veneto, Emilia-Romagna, and Marche
France;FR;;;43903;43903;Ban of Group Gatherings 100;6;1,00;
Switzerland;CH;;;43900;43903;Ban of Group Gatherings 1000;9;;
Switzerland;CH;;;43910;43910;Ban of Group Gatherings 5;2;1,00;
France;FR;Corse;;43896;43896;Ban of Group Gatherings 50;5;1,00;
France;FR;Grand Est;;43896;43896;Ban of Group Gatherings 50;5;1,00;work (when homeoffice infeasible) and individual reacreational activities outside allowed
France;FR;Hauts-de-France;;43899;43899;Ban of Group Gatherings 50;5;1,00;
Switzerland;CH;;;43895;43899;Ban of Group Gatherings 5000;10;;
Switzerland;CH;canton;VD;43906;43906;ban on all events;2;;
Switzerland;CH;canton;NE;43894;43905;ban on all events with more than 500 persons;8;;
Switzerland;CH;canton;TI;43908;43908;ban on all public and private events;1;;
Switzerland;CH;canton;AG;43906;43906;ban on event with more than 100 persons;7;;
Switzerland;CH;federal;CH;43889;43905;ban on events with more than 1000 persons;9;;
Switzerland;CH;canton;VD;43903;43951;ban on events with more than 50 persons;5;;
Switzerland;CH;canton;VD;43906;43906;ban on gathering of more than 10 people;2;;
Switzerland;CH;canton;GR;43904;43951;ban on hopsital and retirement home visits;4;;
Switzerland;CH;canton;VD;43906;43906;ban on hopsital and retirement home visits;2;;
Switzerland;CH;canton;ZH;43907;43907;ban on hopsital and retirement home visits;3;;
Switzerland;CH;canton;TI;43905;43905;ban on public funerals;3;;
